fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,Rank
Sean Brady,177.8,170.0,182.88,Orthodox,1992-11-23,17,94%,1,6%,0,0%,0.0,0%,4.09,55%,3.18,60%,3.49,52%,85%,0.9,80
Joaquin Buckley,177.8,170.0,193.04,Southpaw,1994-04-27,21,78%,6,22%,0,0%,0.0,0%,4.22,37%,3.13,59%,1.78,45%,73%,0.1,81
Mayra Bueno Silva,167.64,125.0,167.64,Orthodox,1991-08-22,10,59%,5,29%,1,6%,1.0,6%,3.83,58%,4.85,51%,0.57,29%,63%,1.5,187
Gilbert Burns,177.8,170.0,180.34,Orthodox,1986-07-20,22,73%,8,27%,0,0%,0.0,0%,3.17,48%,3.57,52%,2.1,37%,53%,0.5,83
Jared Cannonier,180.34,185.0,195.58,Switch,1984-03-16,18,69%,8,31%,0,0%,0.0,0%,4.6,50%,4.49,56%,0.46,44%,64%,0.0,98
Jacqueline Cavalcanti,172.72,135.0,177.8,Orthodox,1997-08-29,9,90%,1,10%,0,0%,0.0,0%,5.73,46%,3.32,70%,0.0,0%,84%,0.0,193
Henry Cejudo,162.56,135.0,162.56,Orthodox,1987-02-09,16,80%,4,20%,0,0%,0.0,0%,3.77,46%,3.29,60%,1.99,32%,75%,0.2,37
Katlyn Cerminara,175.26,125.0,172.72,Orthodox,1988-12-28,18,75%,6,25%,0,0%,0.0,0%,4.58,34%,4.48,62%,0.31,15%,50%,0.3,173
Michael Chandler,172.72,155.0,180.34,Orthodox,1986-04-24,23,72%,9,28%,0,0%,0.0,0%,4.49,50%,4.3,43%,1.59,37%,63%,0.6,67
Chelsea Chandler,172.72,135.0,172.72,Southpaw,1990-11-23,6,67%,3,33%,0,0%,0.0,0%,3.53,45%,4.06,41%,0.91,60%,33%,0.0,194
Macy Chiasson,180.34,135.0,182.88,Orthodox,1991-07-27,11,79%,3,21%,0,0%,0.0,0%,3.77,46%,2.79,44%,2.37,38%,70%,0.4,185
